timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,185.8100,186.6850,184.0886,185.2200,185.2200,4747685,0.0000,1.0000
2019-05-02,184.5000,186.5000,183.3800,184.7500,184.7500,5654907,0.0000,1.0000
2019-05-01,189.4900,189.7100,185.9200,186.0700,186.0700,3818525,0.0000,1.0000
2019-04-30,190.8600,190.8600,186.5475,189.5100,189.5100,4540971,0.0000,1.0000
2019-04-29,191.5200,192.1900,189.7500,190.2100,190.2100,3803436,0.0000,1.0000
2019-04-26,190.5300,192.2500,189.3600,191.6700,191.6700,4491273,0.0000,1.0000
2019-04-25,197.5400,198.9600,189.6000,190.7200,190.7200,14646157,0.0000,1.0000
2019-04-24,219.0000,219.7500,218.1000,219.0800,219.0800,2048899,0.0000,1.0000
2019-04-23,218.0100,219.5500,217.1800,219.5000,219.5000,1561876,0.0000,1.0000
2019-04-22,217.3000,219.4000,217.2700,218.5400,218.5400,1403478,0.0000,1.0000
2019-04-18,217.9800,219.6700,217.6200,218.8800,218.8800,1780159,0.0000,1.0000
2019-04-17,217.6300,219.3300,217.1750,217.6400,217.6400,1977615,0.0000,1.0000
2019-04-16,216.5900,217.6700,215.4800,216.9000,216.9000,1549643,0.0000,1.0000
2019-04-15,216.8400,217.3600,214.9000,215.8300,215.8300,1483313,0.0000,1.0000
2019-04-12,215.1000,217.4900,214.3500,217.4200,217.4200,1922409,0.0000,1.0000
2019-04-11,211.7100,213.7100,211.4400,213.5300,213.5300,1181248,0.0000,1.0000
2019-04-10,212.4200,212.7100,210.7200,212.1100,212.1100,1348780,0.0000,1.0000
2019-04-09,214.4200,214.5700,211.8200,211.9600,211.9600,1516450,0.0000,1.0000
2019-04-08,214.7100,215.0700,213.4700,215.0200,215.0200,1130042,0.0000,1.0000
2019-04-05,215.8800,216.4900,214.8000,215.4100,215.4100,1391097,0.0000,1.0000
2019-04-04,213.5000,215.2700,212.3250,215.0300,215.0300,1560926,0.0000,1.0000
2019-04-03,212.9500,213.9300,212.4400,213.1300,213.1300,1569956,0.0000,1.0000
2019-04-02,212.2400,212.7000,211.0027,212.1300,212.1300,1413493,0.0000,1.0000
2019-04-01,209.8900,212.3901,209.2550,211.9400,211.9400,2588445,0.0000,1.0000
2019-03-29,209.2900,209.4950,206.2000,207.7800,207.7800,2858396,0.0000,1.0000
2019-03-28,208.0000,208.7400,206.6400,208.5300,208.5300,1670590,0.0000,1.0000
2019-03-27,207.4000,207.9420,205.1288,207.1600,207.1600,2003968,0.0000,1.0000
2019-03-26,205.0000,207.6400,204.7700,207.2400,207.2400,1895577,0.0000,1.0000
2019-03-25,203.4600,205.4700,202.2500,203.2100,203.2100,2020649,0.0000,1.0000
2019-03-22,208.2900,208.4900,204.4704,204.6600,204.6600,2716057,0.0000,1.0000
2019-03-21,206.8000,210.1600,205.9700,209.6100,209.6100,2288068,0.0000,1.0000
2019-03-20,209.0000,210.5100,207.2900,208.3000,208.3000,1734653,0.0000,1.0000
2019-03-19,209.1000,210.5400,208.3148,209.0200,209.0200,2351597,0.0000,1.0000
2019-03-18,208.4400,208.6000,205.6119,208.4900,208.4900,1843555,0.0000,1.0000
2019-03-15,208.4000,208.6600,206.7900,208.0800,208.0800,4394759,0.0000,1.0000
2019-03-14,206.7000,207.4500,205.7300,207.3800,207.3800,1793356,0.0000,1.0000
2019-03-13,206.8300,207.3000,205.6300,206.6600,206.6600,2036665,0.0000,1.0000
2019-03-12,207.8400,208.3900,205.3750,205.8000,205.8000,2115092,0.0000,1.0000
2019-03-11,201.8800,207.1599,201.6600,207.1000,207.1000,2385314,0.0000,1.0000
2019-03-08,198.3800,201.1700,198.0000,200.8900,200.8900,1724488,0.0000,1.0000
2019-03-07,202.5600,202.5600,198.5000,199.8600,199.8600,3339599,0.0000,1.0000
2019-03-06,204.7300,204.7900,202.7600,202.8000,202.8000,1825348,0.0000,1.0000
2019-03-05,205.5800,207.2500,203.8400,203.8400,203.8400,2744490,0.0000,1.0000
2019-03-04,208.9900,209.9800,205.7384,206.8600,206.8600,1990128,0.0000,1.0000
2019-03-01,208.8100,209.7600,206.9000,207.4900,207.4900,1754444,0.0000,1.0000
2019-02-28,209.0500,209.0500,206.9600,207.3900,207.3900,2121733,0.0000,1.0000
2019-02-27,209.6000,209.6900,208.1600,209.0300,209.0300,1540585,0.0000,1.0000
2019-02-26,210.5800,211.5900,209.3700,209.3800,209.3800,1671310,0.0000,1.0000
2019-02-25,210.4700,211.3500,210.3400,210.5800,210.5800,2183547,0.0000,1.0000
2019-02-22,207.7700,209.6600,207.1500,209.3500,209.3500,1534158,0.0000,1.0000
2019-02-21,208.1600,209.1100,207.2500,207.7700,207.7700,1737687,0.0000,1.0000
2019-02-20,208.9300,208.9700,207.3200,208.5300,208.5300,1879145,0.0000,1.0000
2019-02-19,207.9100,209.1500,207.3900,208.4100,208.4100,1534457,0.0000,1.0000
2019-02-15,206.4600,208.9700,206.0000,208.8600,208.8600,2000378,0.0000,1.0000
2019-02-14,206.5900,207.1200,204.0500,204.9300,204.9300,2229753,1.4400,1.0000
2019-02-13,207.0900,210.4000,206.5900,209.7200,208.2566,2967332,0.0000,1.0000
2019-02-12,202.8700,206.7900,202.1900,206.5700,205.1286,2622973,0.0000,1.0000
2019-02-11,200.9300,201.2000,199.6400,200.9100,199.5081,1513457,0.0000,1.0000
2019-02-08,199.2200,199.8500,197.9000,199.8200,198.4257,1451833,0.0000,1.0000
2019-02-07,201.0200,202.4000,198.8550,199.8400,198.4456,1949371,0.0000,1.0000
2019-02-06,201.2200,203.0800,200.2500,202.5700,201.1565,1672422,0.0000,1.0000
2019-02-05,200.7200,201.1300,199.7252,201.1200,199.7166,2036879,0.0000,1.0000
2019-02-04,199.0100,200.2600,196.2500,200.2100,198.8130,1973572,0.0000,1.0000
2019-02-01,201.4900,201.7700,198.2900,199.1600,197.7703,2239400,0.0000,1.0000
2019-01-31,198.8000,200.8900,197.7400,200.3000,198.9024,3338363,0.0000,1.0000
2019-01-30,198.2200,200.1100,194.6300,199.2700,197.8795,2168133,0.0000,1.0000
2019-01-29,195.0100,199.8900,194.2000,196.9500,195.5757,4311097,0.0000,1.0000
2019-01-28,193.1400,193.4500,191.0700,193.2000,191.8519,3156986,0.0000,1.0000
2019-01-25,194.7200,197.1600,194.4600,195.9000,194.5331,2320397,0.0000,1.0000
2019-01-24,192.2600,193.1650,191.5100,192.5200,191.1766,1582949,0.0000,1.0000
2019-01-23,192.6300,194.0000,190.2750,192.2900,190.9482,1653006,0.0000,1.0000
2019-01-22,194.2200,194.4900,190.4300,192.2600,190.9185,2709562,0.0000,1.0000
2019-01-18,194.3400,196.4000,192.3600,195.8600,194.4933,2746603,0.0000,1.0000
2019-01-17,188.5600,192.9000,187.8950,191.7100,190.3723,1978891,0.0000,1.0000
2019-01-16,188.5100,190.4400,188.4200,189.4800,188.1579,2492126,0.0000,1.0000
2019-01-15,188.8400,190.6761,187.8600,188.9400,187.6216,2737349,0.0000,1.0000
2019-01-14,190.6400,192.8300,189.8000,192.1700,190.8291,1914426,0.0000,1.0000
2019-01-11,191.8400,192.6900,190.8600,192.2100,190.8688,2360186,0.0000,1.0000
2019-01-10,190.8700,193.8100,189.4000,193.6000,192.2491,1939317,0.0000,1.0000
2019-01-09,193.2500,193.9400,191.3816,192.3000,190.9582,2163815,0.0000,1.0000
2019-01-08,193.0000,194.1100,189.5800,191.6800,190.3425,2479787,0.0000,1.0000
2019-01-07,191.3600,192.3000,188.6600,190.8800,189.5481,2162158,0.0000,1.0000
2019-01-04,186.7500,191.9800,186.0300,191.3200,189.9850,2995052,0.0000,1.0000
2019-01-03,188.2800,188.2800,182.8900,183.7600,182.4778,3358241,0.0000,1.0000
2019-01-02,187.8200,190.9900,186.7000,190.9500,189.6176,2475193,0.0000,1.0000
2018-12-31,190.3400,191.6500,188.5000,190.5400,189.2105,1804618,0.0000,1.0000
2018-12-28,191.8100,192.3000,188.5700,189.3700,188.0486,2311390,0.0000,1.0000
2018-12-27,183.5000,190.7000,182.8800,190.7000,189.3693,2809032,0.0000,1.0000
2018-12-26,179.3800,186.3300,176.8700,186.2600,184.9603,2925561,0.0000,1.0000
2018-12-24,181.8900,183.5400,178.5100,178.6200,177.3736,2249502,0.0000,1.0000
2018-12-21,187.8600,190.5000,183.6400,183.7500,182.4678,6699190,0.0000,1.0000
2018-12-20,189.1100,191.1200,185.5000,187.3800,186.0725,3609477,0.0000,1.0000
2018-12-19,196.0000,198.2300,189.7000,189.9600,188.6345,3266548,0.0000,1.0000
2018-12-18,193.3900,196.9200,193.1500,194.5600,193.2024,2636317,0.0000,1.0000
2018-12-17,195.8400,198.2450,191.8500,192.8200,191.4745,2547591,0.0000,1.0000
2018-12-14,200.1200,201.5700,195.8500,196.1000,194.7317,2473515,0.0000,1.0000
2018-12-13,201.4300,202.4000,199.5208,202.1300,200.7196,1831731,0.0000,1.0000
2018-12-12,200.6000,202.6200,199.7000,199.8100,198.4158,1918966,0.0000,1.0000
2018-12-11,201.2600,202.0000,196.1400,197.4600,196.0822,1828852,0.0000,1.0000
2018-12-10,198.3600,198.9500,193.6400,198.3200,196.9362,1980356,0.0000,1.0000
2018-12-07,202.6200,204.3700,197.0100,198.2400,196.8567,2254486,0.0000,1.0000
2018-12-06,199.6100,203.0800,198.1900,202.6800,201.2657,2991766,0.0000,1.0000
2018-12-04,208.0600,208.5500,202.0900,202.2000,200.7891,2698694,0.0000,1.0000
2018-12-03,211.2100,211.9500,207.0500,208.7600,207.3033,2493454,0.0000,1.0000
2018-11-30,204.3600,207.9200,203.9800,207.9200,206.4692,3171873,0.0000,1.0000
2018-11-29,203.8700,205.8400,202.6600,204.5600,203.1326,1569231,0.0000,1.0000
2018-11-28,201.9900,204.3500,199.4200,204.3400,202.9142,2184438,0.0000,1.0000
2018-11-27,199.1200,201.3200,196.7793,200.6900,199.2896,2079649,0.0000,1.0000
2018-11-26,198.5700,201.8300,197.3200,199.8600,198.4654,2321035,0.0000,1.0000
